"Date","Time","Open","High","Low","Close","Vol","OI"
02/25/1999,17:00,115.63,115.63,115.63,115.63,0,0
02/26/1999,17:00,114.88,114.88,114.88,114.88,0,0
03/01/1999,17:00,115.38,115.38,115.38,115.38,0,0
03/02/1999,17:00,114.48,114.48,114.48,114.48,0,0
03/03/1999,17:00,114.61,114.61,114.61,114.61,0,0
03/04/1999,17:00,115.29,115.29,115.29,115.29,0,0
03/05/1999,17:00,115.83,115.83,115.83,115.83,0,0
03/08/1999,17:00,116.42,116.42,116.42,116.42,0,0
03/09/1999,17:00,115.53,115.53,115.53,115.53,0,0
03/10/1999,17:00,115.43,115.43,115.43,115.43,0,0
03/11/1999,17:00,114.49,114.49,114.49,114.49,0,0
03/12/1999,17:00,113.95,113.95,113.95,113.95,0,0
03/15/1999,17:00,115.48,115.48,115.48,115.48,0,0
03/16/1999,17:00,114.52,114.52,114.52,114.52,0,0
03/17/1999,17:00,114.63,114.63,114.63,114.63,0,0
03/18/1999,17:00,114.47,114.47,114.47,114.47,0,0
03/19/1999,17:00,114.97,114.97,114.97,114.97,0,0
03/22/1999,17:00,114.42,114.42,114.42,114.42,0,0
03/23/1999,17:00,112.59,112.59,112.59,112.59,0,0
03/24/1999,17:00,112.76,112.76,112.76,112.76,0,0
03/25/1999,17:00,114.77,114.77,114.77,114.77,0,0
03/26/1999,17:00,114.72,114.72,114.72,114.72,0,0
03/29/1999,17:00,114.73,114.73,114.73,114.73,0,0
03/30/1999,17:00,115.24,115.24,115.24,115.24,0,0
03/31/1999,17:00,114.02,114.02,114.02,114.02,0,0
04/01/1999,17:00,112.35,112.35,112.35,112.35,0,0
04/05/1999,17:00,114.75,114.75,114.75,114.75,0,0
04/06/1999,17:00,114.60,114.60,114.60,114.60,0,0
04/07/1999,17:00,113.77,113.77,113.77,113.77,0,0
04/08/1999,17:00,113.19,113.19,113.19,113.19,0,0
04/09/1999,17:00,115.90,115.90,115.90,115.90,0,0
04/12/1999,17:00,112.86,112.86,112.86,112.86,0,0
04/13/1999,17:00,112.52,112.52,112.52,112.52,0,0
04/14/1999,17:00,112.54,112.54,112.54,112.54,0,0
04/15/1999,17:00,113.07,113.07,113.07,113.07,0,0
04/16/1999,17:00,113.86,113.86,113.86,113.86,0,0
04/19/1999,17:00,113.20,113.20,113.20,113.20,0,0
04/20/1999,17:00,112.84,112.84,112.84,112.84,0,0
04/21/1999,17:00,114.99,114.99,114.99,114.99,0,0
04/22/1999,17:00,115.38,115.38,115.38,115.38,0,0
04/23/1999,17:00,115.84,115.84,115.84,115.84,0,0
04/26/1999,17:00,115.61,115.61,115.61,115.61,0,0
04/27/1999,17:00,116.82,116.82,116.82,116.82,0,0
04/28/1999,17:00,116.01,116.01,116.01,116.01,0,0
04/29/1999,17:00,115.57,115.57,115.57,115.57,0,0
04/30/1999,17:00,116.25,116.25,116.25,116.25,0,0
05/03/1999,17:00,116.60,116.60,116.60,116.60,0,0
05/04/1999,17:00,116.60,116.60,116.60,116.60,0,0
