<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <%K>, <%D>, <ROC>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>, <ACCUMULATION_DISTRIBUTION>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <WILLIAMS_R>, <HIGH_PRICE_ACCELERATION>, <DISPARITY_5>, <DISPARITY_10>
2/9/2000,16:00:00,1449.75,1454.75,1417.00,1418.50,25403,1425.89,1440.49,0.00,0.00,0.00,0.00,42.12,70.00,30.00,0.24,-6.75,-8.49,1.74,0.00,37.08,0.00,99.08,100.12
2/10/2000,16:00:00,1417.00,1429.25,1412.25,1418.50,24036,1424.55,1439.63,0.00,0.00,0.00,0.00,42.12,70.00,30.00,0.63,-6.89,-8.17,1.29,0.00,37.08,0.00,99.32,100.07
2/11/2000,16:00:00,1420.75,1426.50,1384.25,1396.00,25655,1419.36,1437.92,0.00,0.00,0.00,0.00,37.62,70.00,30.00,0.19,-8.71,-8.28,-0.43,0.00,83.33,0.00,98.23,98.28
2/14/2000,16:00:00,1395.50,1403.50,1386.75,1398.25,22784,1415.52,1436.36,0.00,0.00,0.00,0.00,38.33,70.00,30.00,0.45,-9.85,-8.59,-1.26,0.00,80.14,0.00,98.79,98.45
2/15/2000,16:00:00,1398.25,1414.75,1381.00,1409.25,25276,1414.38,1435.30,0.00,114.31,0.00,0.00,41.81,70.00,30.00,0.49,-9.76,-8.83,-0.94,0.00,61.69,0.00,100.08,99.28
2/16/2000,16:00:00,1412.50,1413.50,1390.25,1392.75,23439,1410.45,1433.63,0.00,51.80,0.00,0.00,38.32,70.00,30.00,0.18,-10.90,-9.24,-1.66,0.00,84.07,0.00,99.27,98.27
2/17/2000,16:00:00,1394.75,1407.00,1384.25,1385.50,23371,1405.91,1431.74,0.00,50.12,-4.86,0.00,36.86,70.00,30.00,0.63,-12.24,-9.84,-2.40,0.00,93.90,-4.14,99.22,98.10
2/18/2000,16:00:00,1386.50,1393.50,1349.00,1354.00,23955,1396.47,1428.69,0.00,46.22,-6.88,0.00,31.29,70.00,30.00,0.18,-15.67,-11.01,-4.66,0.00,95.27,-5.13,97.55,96.40
2/22/2000,16:00:00,1352.25,1363.75,1336.50,1348.50,27127,1387.75,1425.55,0.00,41.05,-4.55,0.00,30.42,70.00,30.00,0.36,-18.61,-12.53,-6.08,0.00,89.85,-6.20,97.86,96.55
2/23/2000,16:00:00,1351.00,1374.25,1344.50,1364.00,25293,1383.43,1423.14,0.00,36.12,-3.88,0.00,35.81,70.00,30.00,0.87,-19.47,-13.92,-5.55,0.00,70.35,-5.65,99.64,98.23
