Date, Time, Open, High, Low, Close, Volume, AvgExp, AvgExp, %K, %D, ROC, ZeroLine, RSI, OverBot, OverSld, ACCUMULATION_DISTRIBUTION, MACD, MACDAvg, MACDDiff, ZeroLine, WILLIAMS_R, HIGH_PRICE_ACCELERATION, DISPARITY_5, DISPARITY_10
10/14/2010,16:00:00,1174.25,1180.75,1162.5,1175.25,2410283,1159.94,1123.46,91.01,85.38,4.63,0,71.45,70,30,0.38,16.96,15.31,1.65,0,10.65,-0.02,100.66,101.48
10/15/2010,16:00:00,1174.75,1180,1163,1175,2612829,1162.68,1125.48,89.46,87.9,4.96,0,71.23,70,30,0.28,17.14,15.68,1.46,0,12.44,-0.09,100.39,101.17
10/18/2010,16:00:00,1174.25,1182.25,1164.75,1172,1510232,1164.37,1127.3,87.19,89.18,3.19,0,68.61,70,30,0.41,16.84,15.91,0.93,0,27.89,0,99.97,100.59
10/19/2010,16:00:00,1172.75,1178,1155.5,1163,3000379,1164.12,1128.7,78.42,88.87,2.58,0,61.32,70,30,0.27,15.7,15.87,-0.17,0,52.38,-0.37,99.25,99.74
10/20/2010,16:00:00,1162.75,1180,1160.5,1176.5,2279088,1166.37,1130.58,78.73,87.74,3.98,0,66.99,70,30,0.87,15.7,15.84,-0.13,0,15.65,-0.2,100.35,100.73
10/21/2010,16:00:00,1176.75,1186.25,1167.25,1175,2396395,1167.94,1132.32,78.65,86.57,4.93,0,65.83,70,30,0.51,15.41,15.75,-0.34,0,32.61,0,100.23,100.43
10/22/2010,16:00:00,1175.5,1181.5,1173.25,1181.25,1197478,1170.36,1134.24,87.34,86.28,3.35,0,68.29,70,30,0.79,15.5,15.7,-0.2,0,14.49,-0.42,100.66,100.79
10/25/2010,16:00:00,1180.75,1193,1180.5,1182.5,1757332,1172.57,1136.13,85.03,85.32,3.84,0,68.77,70,30,0.94,15.49,15.66,-0.17,0,28,0,100.58,100.72
10/26/2010,16:00:00,1182.5,1184.25,1174,1183.5,1741729,1174.56,1137.99,85.03,84.54,3.57,0,69.17,70,30,0.17,15.39,15.6,-0.21,0,25.33,-0.76,100.32,100.66
10/27/2010,16:00:00,1183.25,1186.25,1167.75,1178.25,2241924,1175.23,1139.57,77.62,83.05,3.31,0,64.45,70,30,0.15,14.72,15.43,-0.71,0,39.33,-0.59,99.84,100.17
10/28/2010,16:00:00,1178,1187.5,1173.5,1179.75,2008272,1176.05,1141.14,73.68,81.3,3.87,0,65.19,70,30,0.66,14.14,15.17,-1.03,0,35.33,-0.48,99.89,100.26
10/29/2010,16:00:00,1179.25,1182.5,1172,1180.5,1745467,1176.86,1142.69,70.28,79.42,3.35,0,65.57,70,30,0.26,13.59,14.85,-1.27,0,33.33,-0.92,99.97,100.28
11/1/2010,16:00:00,1180.5,1192.75,1173.75,1182.5,2028916,1177.88,1144.25,72.12,78.72,4.19,0,66.62,70,30,0.64,13.16,14.51,-1.35,0,32.31,-0.02,100.14,100.36
11/2/2010,16:00:00,1181.75,1193.5,1180.75,1192.75,1572473,1180.59,1146.15,80.29,78.89,3.31,0,71.42,70,30,0.86,13.49,14.31,-0.82,0,2.86,0,100.85,100.97
11/3/2010,16:00:00,1192.75,1198,1179.5,1197,2364951,1183.57,1148.14,89.94,80.15,3.52,0,73.15,70,30,0.28,13.94,14.23,-0.3,0,3.31,0,100.88,101.16
11/4/2010,16:00:00,1197.5,1218.75,1195.25,1217.5,2290257,1189.74,1150.86,97.91,81.32,5.34,0,79.56,70,30,0.93,15.76,14.54,1.22,0,2.45,0,101.96,102.52
11/5/2010,16:00:00,1217.5,1224.5,1212.5,1222.25,2087273,1195.65,1153.66,97.42,82.7,5.32,0,80.71,70,30,0.58,17.39,15.11,2.28,0,3.96,0,101.65,102.57
11/8/2010,16:00:00,1220.5,1222.25,1214.75,1218.25,1512667,1199.76,1156.2,95.16,83.82,4.82,0,76.79,70,30,0,18.15,15.72,2.43,0,11.01,-0.19,100.72,101.93
11/9/2010,16:00:00,1218.25,1224.75,1206.25,1210.25,2316967,1201.67,1158.32,88.63,85.05,3.8,0,69.53,70,30,0.35,17.9,16.16,1.75,0,27.49,0,99.77,101.03
11/10/2010,16:00:00,1209.75,1217,1201.75,1209.25,2492077,1203.05,1160.31,81,85.86,3.02,0,68.65,70,30,0.44,17.42,16.41,1.01,0,29.38,-0.66,99.49,100.69
11/11/2010,16:00:00,1206.5,1213.25,1202,1210.5,1740565,1204.4,1162.28,75.24,86.41,3,0,69.17,70,30,0.36,16.95,16.52,0.43,0,27.94,-0.97,99.7,100.53
11/12/2010,16:00:00,1211.25,1211.75,1191.5,1194.75,2755882,1202.65,1163.55,65.16,85.64,1.68,0,56.42,70,30,0.06,15.13,16.24,-1.11,0,66.3,-1.1,98.85,99.11
11/15/2010,16:00:00,1195.5,1205.75,1192.5,1194.5,2079701,1201.17,1164.77,56.43,82.99,1.92,0,56.25,70,30,0.83,13.51,15.69,-2.19,0,66.85,-1.61,99.22,98.99
11/16/2010,16:00:00,1193.5,1194.75,1171,1176,3163152,1196.59,1165.21,36.26,77.02,1.12,0,44.99,70,30,0.01,10.61,14.68,-4.07,0,90.7,-2.55,98.25,97.59
11/17/2010,16:00:00,1177.25,1182,1173.25,1177.25,2009186,1193.07,1165.68,24.59,68.88,0.06,0,45.78,70,30,0.69,8.32,13.4,-5.09,0,88.37,-3.62,98.88,97.86
11/18/2010,16:00:00,1177.75,1199,1177.5,1197,2062826,1193.79,1166.91,24.62,60.79,1.87,0,56.42,70,30,1.01,8,12.32,-4.32,0,51.63,-2.17,100.77,99.67
11/19/2010,16:00:00,1198.25,1200,1187.5,1198,1711121,1194.55,1168.13,36.74,54.3,1.42,0,56.88,70,30,0.24,7.74,11.41,-3.66,0,49.77,-2.09,100.8,99.95
11/22/2010,16:00:00,1202.75,1206,1182.5,1196.5,2182412,1194.91,1169.24,48.68,49.86,1.18,0,55.93,70,30,0.34,7.33,10.59,-3.26,0,44.57,-1.57,100.64,100.01
11/23/2010,16:00:00,1197,1197.75,1174.75,1176.75,2425602,1191.61,1169.54,36.12,44.87,-0.57,0,45.16,70,30,0.05,5.35,9.54,-4.19,0,86.39,-2.28,98.96,98.63
11/24/2010,16:00:00,1177,1197.5,1175.5,1195.25,1790532,1192.27,1170.54,34.42,40.34,1.44,0,54.08,70,30,0.94,5.22,8.68,-3.46,0,40.49,-2.3,100.21,100.3
11/25/2010,16:00:00,1195.5,1200.5,1192.75,1200,129621,1193.67,1171.7,36.59,37.16,1.72,0,56.05,70,30,0.68,5.43,8.03,-2.6,0,17.14,-2.04,100.56,100.79
11/26/2010,16:00:00,1199,1199.5,1182.5,1183.25,828697,1191.78,1172.15,40.62,35.41,0.23,0,48.18,70,30,-0.03,4.2,7.26,-3.07,0,65,-2.14,99.4,99.48
11/29/2010,16:00:00,1188.5,1193.75,1172.25,1187.25,2472715,1190.96,1172.74,35.66,35.34,0.4,0,49.99,70,30,0.49,3.5,6.51,-3.01,0,55.56,-2.6,99.89,99.88
11/30/2010,16:00:00,1186.75,1188.25,1173,1177.75,3039590,1188.55,1172.94,22.96,35.16,-1.26,0,45.89,70,30,0.07,2.16,5.64,-3.48,0,83.7,-3.06,99.08,99.06
12/1/2010,16:00:00,1178.5,1207.75,1176.25,1204.25,2297015,1191.41,1174.17,39.61,36.82,0.61,0,56.58,70,30,0.95,3.2,5.15,-1.95,0,9.86,-1.42,101.15,101.06
12/2/2010,16:00:00,1204.75,1223.25,1202,1222.5,2001116,1197.06,1176.06,65.12,39.98,0.41,0,62.12,70,30,0.89,5.43,5.21,0.22,0,1.47,-0.12,102.3,102.37
12/3/2010,16:00:00,1222.75,1227.25,1213,1223.75,1850737,1201.91,1177.93,91.21,44.7,0.12,0,62.48,70,30,0.33,7.22,5.61,1.61,0,6.36,0,101.72,102.26
12/6/2010,16:00:00,1223.25,1226.75,1216.25,1221,1277447,1205.38,1179.62,93.63,51.09,0.23,0,61.12,70,30,0.29,8.32,6.15,2.17,0,11.36,-0.04,100.92,101.82
12/7/2010,16:00:00,1221,1235,1219,1221.5,2342774,1208.31,1181.26,86.73,56.9,0.93,0,61.29,70,30,0.88,9.12,6.75,2.38,0,21.51,0,100.24,101.48
12/8/2010,16:00:00,1219.75,1230.25,1217.25,1230,1876745,1212.26,1183.18,86.38,62.44,1.72,0,64.06,70,30,0.67,10.33,7.46,2.87,0,7.97,-0.39,100.51,101.89
12/9/2010,16:00:00,1230,1238,1226.5,1232.25,929724,1215.89,1185.1,87.32,67.63,1.8,0,64.78,70,30,0.7,11.34,8.24,3.1,0,8.75,0,100.53,101.81
12/10/2010,16:00:00,1232.5,1241.5,1232.25,1241,466681,1220.46,1187.29,94.31,74.14,3.87,0,67.51,70,30,1,12.69,9.13,3.56,0,0.73,0,100.96,102.05
12/13/2010,16:00:00,1237.5,1242,1232,1236.25,1407363,1223.33,1189.21,94.14,82.05,3.5,0,64.59,70,30,0.1,13.23,9.95,3.28,0,8.75,0,100.33,101.25
12/14/2010,16:00:00,1236.25,1242.25,1232.75,1236.5,1514844,1225.72,1191.07,94.26,88.12,5.14,0,64.67,70,30,0.63,13.52,10.66,2.86,0,14.29,0,100.11,100.78
12/15/2010,16:00:00,1237,1239.5,1228.75,1232.75,1775676,1227,1192.7,89.99,90.89,4.71,0,62.21,70,30,0.28,13.3,11.19,2.11,0,32.48,-0.23,99.76,100.24
12/16/2010,16:00:00,1233.25,1239.75,1227.5,1239,1512463,1229.18,1194.52,91.19,90.88,3.51,0,64.63,70,30,0.57,13.47,11.65,1.82,0,12.5,-0.21,100.15,100.62
12/17/2010,16:00:00,1238.75,1241,1234.5,1238.5,1301622,1230.88,1196.24,92.14,90.72,3.38,0,64.27,70,30,0.31,13.41,12,1.41,0,15,-0.1,100.15,100.46
12/20/2010,16:00:00,1240,1245.75,1234,1241.5,1149822,1232.81,1198.02,94.71,91.6,3.76,0,65.49,70,30,0.62,13.45,12.29,1.16,0,14.91,0,100.31,100.53
12/21/2010,16:00:00,1242,1251.25,1241,1250.25,942287,1235.98,1200.06,95.87,92.66,6.25,0,68.84,70,30,0.95,14.03,12.64,1.39,0,4.04,0,100.79,101.01
12/22/2010,16:00:00,1250.5,1255,1249,1254.5,659024,1239.35,1202.2,97.14,93.75,4.96,0,70.34,70,30,0.79,14.66,13.04,1.62,0,1.82,0,100.78,101.15
